Year,country,value
1900,eu,547393877
1910,eu,594753596
1920,eu,659157743
1930,eu,704201243
1940,eu,766747939
1950,eu,839528911
1960,eu,1021442216
1970,eu,1280165750
1980,eu,1540177846
1990,eu,1817430613
2000,eu,2026416405
2010,eu,2196097404
2020,eu,2352370407
1900,argentina,436414138
1910,argentina,474222906
1920,argentina,489229454
1930,argentina,526240276
1940,argentina,566374526
1950,argentina,595402538
1960,argentina,665942434
1970,argentina,736196696
1980,argentina,791447004
1990,argentina,841398939
2000,argentina,861118777
2010,argentina,887745611
2020,argentina,920690065
1900,brazil,64998422
1910,brazil,77591234
1920,brazil,91168073
1930,brazil,109797863
1940,brazil,131946987
1950,brazil,167799438
1960,brazil,219080863
1970,brazil,285722835
1980,brazil,361441805
1990,brazil,441491220
2000,brazil,521273687
2010,brazil,589276426
2020,brazil,650518373